True_G,Predicted_G,Predicted_SMILES,Tanimoto_Similarity
-323.368166,-336.8142395019531,CC#CC(C)(C)C#N,1.0
-458.952489,-452.96600341796875,O=C1OC=C2C=CC1O2,0.3448275862068966
-439.030829,-435.28076171875,CCC1C2NC(=O)OC12,1.0
-423.026195,-424.10858154296875,CCC1C(CC=O)C1=O,0.5
-435.306724,-438.4577941894531,O=CC1OC2C3CN3C12,1.0
-363.833841,-371.6715087890625,CCC(C)(C)C#CC#N,1.0
-420.482505,-417.12890625,CC1=CC(C=O)N=CN1,0.41935483870967744
-384.509176,-391.64398193359375,CC1OCC2CC12O,1.0
-459.012433,-459.17095947265625,OCC1=CC=C(O)C1=O,0.39285714285714285
-384.932976,-383.4295654296875,CC1(C)CCC(=O)O1,1.0
-454.017083,-439.8677978515625,O=C1C2CC2NC1CO,1.0
-386.166712,-387.7217712402344,CC1C=CC2C3C2C13O,0.6
-387.080318,-387.90155029296875,O=CC12C3C1C1C3CC21,1.0
-367.163242,-365.53167724609375,CC12C3C4C3C1(C#N)C24,1.0
-454.04928,-449.8130798339844,CC1=C(CO)NC(=N)O1,1.0
-401.94623,-400.71893310546875,CC(CC#N)C(C)C=O,0.6153846153846154
-473.901966,-477.00494384765625,O=CC1COCC1=NO,1.0
-400.625888,-402.83673095703125,OCC1(CCC#C)CN1,1.0
-439.103376,-437.1767883300781,CCC(=O)COC(C)=N,1.0
-398.168209,-407.1560363769531,CC(C)C(C#N)C1CO1,1.0
-415.900927,-413.1773986816406,CC1(COC1C#N)C#N,1.0
-439.111029,-438.44720458984375,NC(=O)C1C2COCC12,1.0
-423.032248,-421.927001953125,CCC1C(C)OC1C=O,1.0
-455.196627,-434.2496032714844,OCC1=CNC=CC1=O,1.0
-403.161666,-402.59454345703125,CC1=CC(=CCO1)C#N,0.40625
-440.344934,-440.971435546875,OCC1=CNC(O)=C1C,1.0
-424.253988,-409.91680908203125,CC1=CC(CCO1)=NN,0.3939393939393939
-421.699744,-420.8576965332031,CCCNC(CC)=NO,0.44
-387.126245,-385.06103515625,CC1CCCC(=O)C1C,1.0
-459.008178,-462.4801025390625,CC(COC(C)=O)C=O,1.0
-398.564932,-406.34783935546875,CC(C)CC(=O)C1CN1,1.0
-401.967498,-425.74566650390625,CN1CC1OCCO,0.6
-387.11786,-389.76104736328125,OC1CCC2CCC2=C1,1.0
-416.7288,-423.36181640625,C1OCC2NC2C2NC12,1.0
-494.981128,-492.2958068847656,OCC(=O)N1N=NN=N1,1.0
-453.990653,-460.9254455566406,CC1OCC(=N)OC1=N,0.6153846153846154
-401.930334,-398.47210693359375,N#CCCC1=CC=CO1,1.0
-387.088362,-387.7352600097656,COC1C2CC2C1C#C,1.0
-346.561881,-358.5020751953125,CCC1=CC2CC2O1,0.5172413793103449
-458.973467,-441.2637939453125,OCC1=C(N=NC1)C=O,0.375
-494.114732,-492.4044189453125,O=C1COCOCCO1,1.0
-461.378753,-462.7655334472656,CC(=O)N1C=NC=C1O,0.6296296296296297
-403.185822,-404.25616455078125,CC(=O)C1CCC2CN12,1.0
-351.16747,-340.3338623046875,O=C1CC(O1)C#C,1.0
-460.183984,-460.6190185546875,OC1CC(CO1)C1CO1,0.5652173913043478
-423.098641,-423.0621032714844,CC(=O)C1(CCC1)C=O,1.0
-387.1029,-385.6497802734375,CC12CC(C1)C(=O)CC2,1.0
-440.360621,-446.275390625,O=C1CNCCCCO1,1.0
-423.04233,-426.7048034667969,O=CC1CCC11CCO1,0.75
-429.105676,-421.89654541015625,OC1CCC2(CC21)C=O,1.0
-421.81277,-423.6619567871094,CC1COC2CC(=O)C12,0.72
-424.249564,-425.8409118652344,CCC1(CCO)COC1,1.0
-437.917372,-438.2152404785156,CC12CC(O1)C(=O)CN2,0.4827586206896552
-434.100764,-438.0057067871094,O=CC(=O)C1(CN1)C#C,1.0
-436.628683,-439.30352783203125,COC1C(C)CNC1=O,1.0
-431.742325,-431.83734130859375,CC1NC(=O)NC1C#N,1.0
-383.763983,-391.7232666015625,OC1C2C3COC23C1,0.5
-460.192518,-453.106201171875,CC(=O)C1=NC=C(N)O1,1.0
-387.092262,-387.793212890625,CC1C2C=CC(C1)C2O,0.6521739130434783
-264.265543,-266.4557189941406,CC12CCC1CC2,1.0
-456.370964,-440.91546630859375,CCC1(O)C(O)CN1C,0.5
-497.321613,-494.30670166015625,OCC1OC2=C(O1)CO2,0.4074074074074074
-346.561918,-346.548828125,CN1CCN1CC#C,0.4074074074074074
-385.87842,-384.9024658203125,CC1CC=CC2OCC12,0.6923076923076923
-475.057321,-470.53717041015625,COC(=O)C1=NOC=C1,1.0
-387.092097,-381.9788513183594,CC1(C)COC(=O)C1,1.0
-470.097152,-477.1806640625,OCC1CN1C(=O)C=O,1.0
-398.154148,-408.8712463378906,C1CC2OCON=C12,0.3333333333333333
-403.167884,-404.32861328125,CC12C3CC(=N)C1C23O,0.36666666666666664
-422.999665,-426.3195495605469,CC(O)C1CC(C=O)C1,1.0
-437.936986,-434.8473205566406,CC12CC(OC=N)C1O2,1.0
-448.991406,-443.08367919921875,NC(=O)C1=NC(N)=NC1,0.34375
-350.227372,-352.9078369140625,CC1CC(CC1)C1CC1,1.0
-388.263699,-388.09423828125,CC1C2C3CC1CC23O,1.0
-473.911097,-470.08697509765625,COC1COC1OC=N,0.5172413793103449
-401.859982,-409.07818603515625,CC1(O)C2C3C1C1C3N21,1.0
-351.179146,-353.11187744140625,CCCC12CC(C1)C=C2,1.0
-455.22599,-454.3138427734375,OCC1=C(NC=N)CO1,0.30303030303030304
-421.792168,-423.60498046875,CCC(CC#N)NC=O,1.0
-351.162409,-348.35626220703125,CC1C2(C)CC1(C)C=C2,1.0
-480.986014,-492.96051025390625,CC1OC(=O)C(O)=NN1,0.38461538461538464
-395.962168,-406.506103515625,CC(C)(O)C1CC1C#N,1.0
-450.213032,-440.56695556640625,CC1(O)C2COC1C2N,0.6956521739130435
-349.978662,-353.2080993652344,CCC1CC(C)(C)C=C1,1.0
-570.633876,-532.4556274414062,CCC(OC(F)F)C=O,0.625
-401.987442,-397.6080627441406,CC1=CNC(C)=CC1=O,1.0
-437.999609,-420.7666320800781,NC(=N)C1=CN(C)OC1,0.3142857142857143
-387.121971,-384.17449951171875,CC(C)(C)C1CC(=O)C1,1.0
-424.218001,-420.87493896484375,O=C1NC(C=C1)C1CN1,1.0
-418.088099,-421.56884765625,CCN1C=C(C)NC1=O,1.0
-460.160032,-462.28314208984375,COC1CC(=O)C(O)C1,1.0
-436.505375,-439.26214599609375,CN1CC1(C)C(=O)C=O,0.5416666666666666
-423.017694,-425.57159423828125,CC1(C)COC(=O)C=C1,1.0
-420.465841,-414.810546875,CC1CC(O)C=NN1C,0.3548387096774194
-404.343196,-401.9914855957031,CCC(OCC#N)C#C,1.0
-388.301237,-385.93353271484375,CC12OC3CC1C23C#C,1.0
-387.144423,-388.96697998046875,CC1C(CC#C)C1C=O,1.0
-458.98596,-455.0976257324219,OCC(OCC#C)C=O,1.0
-380.864355,-355.37353515625,CC1C(=N)N1C=O,0.6086956521739131
-423.000144,-417.6568603515625,CN1C=CC(=N)C(O)=C1,0.5555555555555556
