True_G,Predicted_G,Predicted_SMILES,Tanimoto_Similarity
-323.368166,-336.6895446777344,CCN=CNC=O,1.0
-458.952489,-451.07330322265625,CC1NC(=O)CNC1=O,1.0
-439.030829,-444.2828674316406,COC1CC2OC2C1N,0.6666666666666666
-423.026195,-420.7634582519531,CC1C2C(OC=O)C12C,0.6818181818181818
-435.306724,-441.4032897949219,CN1CC1(COC)C=O,1.0
-363.833841,-366.54730224609375,N#CC1CC11CCC=C1,1.0
-420.482505,-427.18902587890625,OC1COC2C(O)C12,1.0
-384.509176,-372.8595275878906,OCC1=C(C)C=CN1,1.0
-459.012433,-464.1939697265625,CC1OCCOCC1O,1.0
-384.932976,-388.5006103515625,OCC1CCCCCC1,1.0
-454.017083,-460.7937927246094,NC(=O)CC1=CC=NO1,1.0
-387.080318,-383.38995361328125,CC(CO)CC(C)=O,1.0
-454.04928,-410.9512939453125,OCC1(OC=N)CN1,0.48148148148148145
-401.94623,-396.7850036621094,CC1N=COC(C1)O,0.5714285714285714
-473.901966,-410.1136474609375,COCC(CC=O)=O,0.6
-400.625888,-384.524169921875,CNC(CC#C)(C)C#N,1.0
-439.103376,-442.9849853515625,OC12C3CC1N=COC23,0.46875
-398.168209,-388.642578125,CC1=NC=CN(C1)C#N,0.29411764705882354
-415.900927,-420.69329833984375,OC1=CN=C(C=N1)C#C,1.0
-439.111029,-432.0745544433594,NC1=C(NC=O)NC=C1,1.0
-423.032248,-409.6158142089844,N=C1COC(=O)C=N1,0.3448275862068966
-455.196627,-456.11370849609375,CCC(O)=NCC(N)=O,0.47619047619047616
-403.161666,-403.1532287597656,OC1CC(C#C)(C1)C#N,1.0
-440.344934,-455.8415222167969,CCC(O)CC(N)=NO,0.56
-421.699744,-426.92138671875,CC1(CC1(O)C)C1CO1,0.6363636363636364
-387.126245,-386.9576721191406,CC1CC1C1(O)CC1C,0.7142857142857143
-459.008178,-450.18939208984375,CCC(=O)N=COC=N,0.41379310344827586
-398.564932,-408.8345947265625,CCC1CCC(=O)N1C,1.0
-401.967498,-409.4313049316406,CC1C2C(=O)C=C1CN2,0.41935483870967744
-424.275478,-420.8206787109375,CC1=NC=NC(O)=C1C,1.0
-387.11786,-396.9259033203125,CCC(O)CC1CO1,1.0
-494.981128,-474.637939453125,NC(=O)N=C1NC=CO1,0.4838709677419355
-453.990653,-435.5370178222656,CC1C(C#N)C(O)C1=O,1.0
-401.930334,-405.7314453125,COC1(C#N)C2CC1C2,1.0
-387.088362,-392.3238525390625,CCC12CC1CCC2O,1.0
-346.561881,-352.0863952636719,CC1C2C3C1C2C3=O,1.0
-458.973467,-440.8919677734375,CC1OC(=N)C=CCO1,1.0
-387.066401,-382.71337890625,CC1CC1C(O)CO,0.6521739130434783
-494.114732,-501.0240478515625,NC1=C(N)N=C(F)CO1,0.25
